method,group_id,group_kind,GEN2_isomorphic_queue_index,NGN2_isomorphic_queue_index,mean_domain_isomorphic_queue_index,GEN2_scope,NGN2_scope,cumulative_queue_index
isomorphic_taylor,CDG005,CUSTOM,1,1,1.0,CUSTOM_<class 'ultralytics.nn.modules.block.C2PSA'>_C2PSA_HEAD_AWARE_LOGICAL_WIDTH_V1_paired_attention_unit,CUSTOM_<class 'ultralytics.nn.modules.block.C2PSA'>_C2PSA_HEAD_AWARE_LOGICAL_WIDTH_V1_paired_attention_unit,1
isomorphic_taylor,CDG009,CUSTOM,2,2,2.0,CUSTOM_<class 'ultralytics.nn.modules.block.C3k2'>_C3K2_ATTENTION_HEAD_AWARE_LOGICAL_WIDTH_V1_paired_attention_unit,CUSTOM_<class 'ultralytics.nn.modules.block.C3k2'>_C3K2_ATTENTION_HEAD_AWARE_LOGICAL_WIDTH_V1_paired_attention_unit,2
isomorphic_taylor,DG042,GENERIC,4,4,4.0,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,3
isomorphic_taylor,DG026,GENERIC,5,5,5.0,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,4
isomorphic_taylor,DG016,GENERIC,6,6,6.0,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,5
isomorphic_taylor,DG024,GENERIC,7,7,7.0,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,6
isomorphic_taylor,CDG008,CUSTOM,3,13,8.0,CUSTOM_<class 'ultralytics.nn.modules.block.C3k2'>_C3k2_NONATTENTION_LOGICAL_WIDTH_V1_hidden_channel,CUSTOM_<class 'ultralytics.nn.modules.block.C3k2'>_C3k2_NONATTENTION_LOGICAL_WIDTH_V1_hidden_channel,7
isomorphic_taylor,DG028,GENERIC,8,8,8.0,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,8
isomorphic_taylor,DG023,GENERIC,9,9,9.0,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,9
isomorphic_taylor,DG005,GENERIC,10,10,10.0,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,10
isomorphic_taylor,DG037,GENERIC,11,11,11.0,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out,11
isomorphic_taylor,DG038,GENERIC,12,12,12.0,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out,12
isomorphic_taylor,CDG001,CUSTOM,24,3,13.5,CUSTOM_<class 'ultralytics.nn.modules.block.C3k2'>_C3k2_NONATTENTION_LOGICAL_WIDTH_V1_hidden_channel,CUSTOM_<class 'ultralytics.nn.modules.block.C3k2'>_C3k2_NONATTENTION_LOGICAL_WIDTH_V1_hidden_channel,13
isomorphic_taylor,DG010,GENERIC,15,15,15.0,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,14
isomorphic_taylor,DG031,GENERIC,16,16,16.0,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,15
isomorphic_taylor,DG003,GENERIC,18,18,18.0,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,Isomorphic_<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.conv.Conv2d'>_out<class 'torch.nn.modules.conv.Conv2d'>_out_<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ElementWiseOp'>_out<class 'torch_pruning.ops._ElementWiseOp'>_out_<class 'torch_pruning.ops._ConcatOp'>_out<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in<class 'torch_pruning.ops._ConcatOp'>_in_<class 'torch.nn.modules.conv.Conv2d'>_in,16
isomorphic_taylor,CDG003,CUSTOM,13,24,18.5,CUSTOM_<class 'ultralytics.nn.modules.block.C3k2'>_C3k2_NONATTENTION_LOGICAL_WIDTH_V1_hidden_channel,CUSTOM_<class 'ultralytics.nn.modules.block.C3k2'>_C3k2_NONATTENTION_LOGICAL_WIDTH_V1_hidden_channel,17
