layer_id,layer_type,conv_name,total_weights,pruned_weights,amount,new_zero_weights
22,C3k2,cv1.conv,98304,19661,0.2,19660
22,C3k2,cv2.conv,98304,19661,0.2,19660
22,C3k2,m.0.0.cv1.conv,73728,14746,0.2,14745
22,C3k2,m.0.0.cv2.conv,73728,14746,0.2,14746
22,C3k2,m.0.1.attn.qkv.conv,32768,6554,0.2,6554
22,C3k2,m.0.1.attn.proj.conv,16384,3277,0.2,3277
22,C3k2,m.0.1.attn.pe.conv,1152,230,0.2,230
22,C3k2,m.0.1.ffn.0.conv,32768,6554,0.2,6554
22,C3k2,m.0.1.ffn.1.conv,32768,6554,0.2,6554
17,Conv,conv,36864,7373,0.2,7373
