layer_id,layer_type,conv_name,total_weights,pruned_weights,amount,new_zero_weights
7,Conv,conv,294912,58982,0.2,58982
22,C3k2,cv1.conv,98304,19661,0.2,19660
22,C3k2,cv2.conv,98304,19661,0.2,19660
22,C3k2,m.0.0.cv1.conv,73728,14746,0.2,14745
22,C3k2,m.0.0.cv2.conv,73728,14746,0.2,14746
22,C3k2,m.0.1.attn.qkv.conv,32768,6554,0.2,6554
22,C3k2,m.0.1.attn.proj.conv,16384,3277,0.2,3277
22,C3k2,m.0.1.attn.pe.conv,1152,230,0.2,230
22,C3k2,m.0.1.ffn.0.conv,32768,6554,0.2,6554
22,C3k2,m.0.1.ffn.1.conv,32768,6554,0.2,6554
10,C2PSA,cv1.conv,65536,13107,0.2,13107
10,C2PSA,cv2.conv,65536,13107,0.2,13107
10,C2PSA,m.0.attn.qkv.conv,32768,6554,0.2,6554
10,C2PSA,m.0.attn.proj.conv,16384,3277,0.2,3277
10,C2PSA,m.0.attn.pe.conv,1152,230,0.2,230
10,C2PSA,m.0.ffn.0.conv,32768,6554,0.2,6554
10,C2PSA,m.0.ffn.1.conv,32768,6554,0.2,6554
8,C3k2,cv1.conv,65536,13107,0.2,13107
8,C3k2,cv2.conv,98304,19661,0.2,19661
8,C3k2,m.0.cv1.conv,8192,1638,0.2,1638
8,C3k2,m.0.cv2.conv,8192,1638,0.2,1638
8,C3k2,m.0.cv3.conv,16384,3277,0.2,3277
8,C3k2,m.0.m.0.cv1.conv,36864,7373,0.2,7373
8,C3k2,m.0.m.0.cv2.conv,36864,7373,0.2,7373
8,C3k2,m.0.m.1.cv1.conv,36864,7373,0.2,7373
8,C3k2,m.0.m.1.cv2.conv,36864,7373,0.2,7373
