layer_id,layer_type,conv_name,total_weights,pruned_weights,amount,new_zero_weights
6,C3k2,cv1.conv,16384,3277,0.2,3277
6,C3k2,cv2.conv,24576,4915,0.2,4915
6,C3k2,m.0.cv1.conv,2048,410,0.2,410
6,C3k2,m.0.cv2.conv,2048,410,0.2,410
6,C3k2,m.0.cv3.conv,4096,819,0.2,819
6,C3k2,m.0.m.0.cv1.conv,9216,1843,0.2,1843
6,C3k2,m.0.m.0.cv2.conv,9216,1843,0.2,1843
6,C3k2,m.0.m.1.cv1.conv,9216,1843,0.2,1843
6,C3k2,m.0.m.1.cv2.conv,9216,1843,0.2,1843
13,C3k2,cv1.conv,49152,9830,0.2,9830
13,C3k2,cv2.conv,24576,4915,0.2,4915
13,C3k2,m.0.cv1.conv,2048,410,0.2,410
13,C3k2,m.0.cv2.conv,2048,410,0.2,410
13,C3k2,m.0.cv3.conv,4096,819,0.2,819
13,C3k2,m.0.m.0.cv1.conv,9216,1843,0.2,1843
13,C3k2,m.0.m.0.cv2.conv,9216,1843,0.2,1843
13,C3k2,m.0.m.1.cv1.conv,9216,1843,0.2,1843
13,C3k2,m.0.m.1.cv2.conv,9216,1843,0.2,1843
16,C3k2,cv1.conv,16384,3277,0.2,3277
16,C3k2,cv2.conv,6144,1229,0.2,1229
16,C3k2,m.0.cv1.conv,512,102,0.2,102
16,C3k2,m.0.cv2.conv,512,102,0.2,102
16,C3k2,m.0.cv3.conv,1024,205,0.2,205
16,C3k2,m.0.m.0.cv1.conv,2304,461,0.2,461
16,C3k2,m.0.m.0.cv2.conv,2304,461,0.2,461
16,C3k2,m.0.m.1.cv1.conv,2304,461,0.2,461
16,C3k2,m.0.m.1.cv2.conv,2304,461,0.2,461
